ID,15R2448_L002_metagenome,15R2450_L002_metagenome,15R2452_L002_metagenome,15R2453_L002_metagenome,15R2454_L002_metagenome,15R2456_L002_metagenome,15R2458_L002_metagenome,15R2459_L005_metagenome,15R2460_L005_metagenome,15R2462_L005_metagenome,15R2463_L005_metagenome,15R2464_L005_metagenome,15R2466_L005_metagenome,15R2467_L005_metagenome,15R2468_L005_metagenome,15R2469_L005_metagenome,15R2470_L005_metagenome,15R2471_L005_metagenome,15R2472_L005_metagenome,15R2474_L005_metagenome,15R2476_L005_metagenome,15R2477_L004_metagenome,15R2478_L004_metagenome,15R2480_L004_metagenome,15R2481_L004_metagenome,15R2482_L004_metagenome,15R2483_L004_metagenome,15R2485_L004_metagenome,15R2486_L004_metagenome,15R2487_L004_metagenome,15R2488_L004_metagenome,15R2489_L004_metagenome,15R2492_L004_metagenome,15R2493_L004_metagenome,15R2494_L004_metagenome,15R2495-1_L004_metagenome,15R2496_L004_metagenome,15R2497_L004_metagenome,15R2498_L004_metagenome,15R2499_L003_metagenome,15R2500_L003_metagenome,15R2503_L003_metagenome,15R2512_L003_metagenome,16R00710_metagenome,16R00711_metagenome,16R00712_metagenome,16R00713_metagenome,16R00714_metagenome,16R00715_metagenome,16R00716_metagenome,16R00717_metagenome,16R00718_metagenome,16R00719_metagenome,16R00720_metagenome,16R00721_metagenome,16R00722_metagenome,16R00723_metagenome,16R00724_metagenome,16R00725_metagenome,16R00726_metagenome,16R00727_metagenome,16R00728_metagenome,16R00729_metagenome,16R00730_metagenome,16R00731_metagenome,16R00732_metagenome,16R00733_metagenome,16R00734_metagenome,16R00735_metagenome,16R00736_metagenome,16R00737_metagenome,16R00738_metagenome,16R00739_metagenome,16R00740_metagenome,ASD-3-SRR8524511_metagenome,ASD-3-SRR8524515_metagenome,ASD-3-SRR8524520_metagenome,ASD-4-SRR8524516_metagenome,ASD-4-SRR8524525_metagenome,ASD-7-SRR8524519_metagenome,ASD-7years-SRR8524517_metagenome,ASD-8-SRR8524510_metagenome,ASD-9-SRR8524518_metagenome,SRR8490384_metagenome,SRR8490385_metagenome,SRR8490386_metagenome,SRR8490387_metagenome,SRR8490388_metagenome,SRR8490389_metagenome,SRR8490390_metagenome,SRR8490391_metagenome,SRR8490392_metagenome,SRR8490393_metagenome,SRR8490394_metagenome,SRR8490395_metagenome,SRR8490396_metagenome,SRR8490397_metagenome,SRR8490398_metagenome,SRR8490399_metagenome,SRR8490400_metagenome,SRR8490401_metagenome,SRR8490402_metagenome,SRR8490403_metagenome,SRR8490404_metagenome,SRR8490405_metagenome,SRR8490406_metagenome,SRR8490407_metagenome,SRR8490408_metagenome,SRR8490409_metagenome,SRR8490410_metagenome,SRR8490411_metagenome,SRR8490412_metagenome,SRR8490413_metagenome,SRR8524508_metagenome,SRR8524509_metagenome,SRR8524512_metagenome,SRR8524513_metagenome,SRR8524514_metagenome,SRR8524521_metagenome,SRR8524522_metagenome,SRR8524523_metagenome,SRR8524524_metagenome,SRR8524526_metagenome,SRR8524527_metagenome
s__Actinomyces_odontolyticus,0.00242494788019,0.0,0.00100635516673,0.00546422323808,0.00508560893181,0.0,0.0,0.0,0.0,0.000142242842871,0.00126728953611,0.0,0.0054274216471,0.00240448613166,0.00208551937945,0.0265748905426,0.00673699256921,0.0,0.0,0.000661062662482,0.000847848917272,0.0,0.00134191434299,0.00578422749492,0.0001724741192,0.0,0.00706133178345,0.00242279375879,0.0,0.00374862320096,0.00276648743935,0.0,0.00337604987678,0.0,0.0119756421005,0.000691809723159,0.0,0.0,0.000437346268307,0.00248260518737,0.000571128151585,0.00720518833015,0.000589847769656,0.00174423499918,0.0106284847334,0.00914438183166,0.00758641512313,0.0,0.0021919327235,0.0,0.0,0.0,0.00523712120514,0.00693269211916,0.0,0.0,0.0,0.00073663451726,0.00259319162748,0.0,0.000515392704502,0.00099469927827,0.0,0.0,0.0,0.0021733930774,0.00341241146016,0.00546571696799,0.00147634598601,0.000546230499118,0.0,0.0,0.0,0.000127325384673,0.0,0.000787146563968,0.00416692771282,0.00412368037956,0.00163814024475,0.000463963221305,0.000232580202772,0.00140291000189,0.00356031711952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000533319046003,0.000270994912809,0.0,0.0,0.0,0.0,0.0,0.0,0.0118991106492,0.00178845755631,0.000500652303442,0.0,0.0,0.00134680853369,0.0,0.00147018404065,0.000217074752307,0.000531941285176,0.000198585222287
s__Actinomyces_sp_ICM47,0.0,0.0,0.0,0.000215242455215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00424912977233,0.00116267557252,0.000300507115194,0.0,0.0141411752238,0.0,0.0,0.0,0.000687271470819,0.0,0.0,0.00113467966369,0.0,0.0,0.00358727572459,0.000377320339483,0.0,0.0,0.0,0.0,0.00114897049779,0.0,0.00254103968316,0.00776301238528,0.00013079189422,0.0,0.00053875989574,0.0,0.0,0.0,0.00269467296874,0.00255715900333,0.0208947082709,0.0,0.0123559115217,0.0,0.00440640460097,0.000343459919515,0.0,0.0,0.00142271280903,0.0146318618929,0.0,0.0,0.0,0.0,0.0,0.0,0.000105902610514,0.00509949163326,0.0,0.0,0.0,0.00259254745661,0.0,0.00666397030327,0.00476842783986,0.0,0.0,0.0,0.0,0.0,0.0,0.00173371521684,0.00458164563684,0.0,0.000681296774618,0.0,0.00025280456823,0.0,0.00281965677096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00561394399622,0.0,0.0,0.0,0.0,0.0,0.0,0.00363818688529,0.0,0.00547141445905,0.0,0.0,0.00322716044803,0.0,0.0,0.00182963005516,0.0,0.0
s__Actinomyces_sp_S6_Spd3,0.00250874737497,0.000533170879278,0.0,0.00218666767003,0.00307688793179,0.0,0.0,0.0,0.0,0.00297212676947,0.00285140145625,0.0,0.00646013305858,0.00810220516769,0.00372027808611,0.0381069614706,0.00986139492014,0.0,0.0,0.00352982516005,0.00396947447632,0.0,0.000625289929457,0.00194214937785,0.00110010519273,0.0,0.0145099940023,0.00430443071489,0.0,0.0,0.00376748289454,0.0,0.0,0.00636544228263,0.00820378632084,0.0,0.0,0.0,0.0,0.0051747809425,0.00232363097289,0.0102383494223,0.0,0.0,0.0100915618893,0.0171256624654,0.00246285130627,0.0,0.0,0.0,0.0,0.0,0.00626762669926,0.0257261346109,0.0,0.0,0.00157077392633,0.0,0.0,0.0,0.0,0.00353449810212,0.0,0.000454310883414,0.000225365514411,0.00136613279151,0.0,0.0092496748689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030280991278,0.0,0.00686444350249,0.0,0.0,0.0,0.000520464028716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010423654731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000134733232675,0.00066243200909,0.0,0.0,0.0,0.0,0.0,0.0,0.00472837528994,0.0,0.00163949875193,0.0,0.0,0.0,0.0,0.000476726344246,0.0,0.0,0.0
s__Actinomyces_sp_oral_taxon_181,0.0,0.000218880676756,0.000806462702102,0.00100772604033,0.00289255824002,0.0,0.0,0.0,0.0,0.00922332539038,0.0,0.00224121456399,0.0,0.00882050735385,0.00406886633973,0.0486221650607,0.0030755835642,0.0,0.00397046630627,0.00174620325939,0.0303940990646,0.0,0.0,0.0,0.0,0.0,0.0,0.00942307900446,0.0,0.00190359771924,0.0,0.0,0.0,0.0,0.00735015580227,0.000929973726214,0.00577936682584,0.0,0.0,0.00610441448668,0.00263657790526,0.0018427884371,0.000366326509576,0.000733999343547,0.00949641849586,0.0281417013972,0.00660752284917,0.0,0.0,0.0,0.0,0.0,0.0,0.0331698118331,0.0,0.0,0.0011065370979,0.0,0.0,0.0,0.0,0.0,0.0,0.00266363093289,0.000137723369918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00595968950849,0.0,0.00740896862682,0.00315209381531,0.000587429219004,0.0,0.0,0.0,0.000394637560236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000622988110745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109298692542,0.0,0.00010668002109,0.0,0.0,0.0
s__Bifidobacterium_adolescentis,0.0,0.0,0.0,0.0,0.0,0.0,0.116563586736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000396669392057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690731326697,0.0262907981676,0.0,0.758843242153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275665900675,0.00280087504476,0.00351961145595,0.00061468346522,0.0,0.0,1.55290052693,0.0,0.0,0.000433878713907,0.000447043069846,0.0,0.0,0.0,0.000294799097909,0.000238172418617,0.000264667176794,0.0,0.0,0.0,0.0,0.0,0.101492483026,0.810569472323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01497961924,0.567575849437,0.0,0.00477634921661,0.000118091440934,0.399963768272,1.84189026467,1.6692734582,1.01735561244,0.00736951471033,0.0,0.0,0.0,0.011235943951,0.0413021672067,0.00356965317567,0.131839479066,0.0,0.0,0.0,0.0,0.0,0.084778734936,0.0,0.185942975267,0.0,0.000548009709054,0.0,0.0,0.0,0.0,0.0,0.225190081312,0.0,0.0,0.228784858044,0.0,0.350310904895,0.0346064732885,0.0363903199258,1.37936059898,0.363836682761,0.848959473689,0.172041813565,0.0,0.24564260296,1.53233515418,0.000909646581097,0.000497987586123,2.61362894295
s__Bifidobacterium_animalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30970421723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00930170904617,0.00386489461484,0.220894248743,0.0,0.0,0.0,0.0,0.0015360277703,0.00443072272227,0.0,0.0,0.0,0.0,0.00207639166724,0.064708401991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00149032668164,0.0,0.0,0.0,0.0,0.00511860845772,0.000251036478906,0.0,0.0,0.00208848751411,0.0,0.0,0.0,0.0,0.0,0.0,0.00125442682651,0.0,0.0,0.0,0.0514829955573,0.0,0.0316609477058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00152244126216,0.0057883915688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676154800387,0.0,0.0,0.000385179737227,0.00103341654796,0.0,0.0406750917912,0.0015970499634,0.0,0.186832883722
s__Bifidobacterium_bifidum,0.0,0.0,0.0,0.0,0.80441950127,0.0,0.0,0.000424766948248,0.0,0.0,0.0,0.0,1.08505213742,0.518224590785,0.00165879927587,0.0,0.000390550293867,0.793941791597,0.0,1.79376235244,0.0,0.619307845227,0.0,0.191628923668,0.0,0.0,0.0458956771275,0.0,0.0,0.343635995971,0.0,0.0,0.0,0.0,0.0,0.0,0.254749911967,0.0,0.0,0.0,0.134207291949,1.62691321152,0.0,0.0,0.0,0.14306813183,0.0,0.0,2.01514686935,0.477044021228,0.0,0.124417830133,0.000261471543282,0.000339018962595,0.000265237466187,0.163785897081,0.0,0.0344150477099,0.0,0.0,0.0,0.0,0.0291464613408,0.0,0.00035682873115,0.000263912016541,0.498630529479,0.0,0.433304718644,0.381138537924,0.0016719542225,0.000902535912256,0.000125459952008,0.0,0.0527891181052,0.0,0.0,0.0,0.0,0.0,0.397668327281,0.0,0.40272763022,0.0,0.0,0.000661585411268,0.0,0.000111280357257,0.0,0.0,0.0,0.0,0.0,0.0506751175463,0.0,0.0,0.00484348755032,0.0,0.0528449416271,0.0,0.0696657342635,0.0,0.0230614522519,0.0,0.0,0.645605160726,0.103861309546,0.0158331565126,0.0161854563722,0.0,0.0680649386648,0.0948791166083,0.0,0.0445202520597,0.0247565042097,0.0,0.51814522552,0.262512830245,0.0,0.00679513815486,0.526092524006,0.0,0.0,0.081188800961
s__Bifidobacterium_breve,0.0,0.00734653348394,0.0,0.000146756219465,0.0,0.0464688433132,0.0,0.617626588823,0.0,0.0330003395461,0.340492671757,0.0349398042217,0.00844821626041,0.0863119211665,0.253123153271,0.0,0.571187941245,1.00279180343,0.00216570889433,0.0,0.0,0.0570914981196,0.0013278628839,0.00803775408281,0.00043351602934,0.000216256261713,0.0,0.00103763093358,0.0,0.0,0.00489497777539,0.000617156499926,9.30622573934,0.00155542364984,0.0,0.00373123604786,0.000596738017378,0.0125314449016,0.00278887475442,0.0,0.00895810593925,0.0188055987711,0.0,1.70026607076,3.58896048274,0.201450464372,1.87647921355,2.20861425845,0.358214774032,0.0722138110143,0.00732909527002,0.00408936192791,0.512884122487,5.73905548505,0.0480783505036,0.0336250415541,0.00131639758198,0.0,0.00207157262196,0.22417593743,0.00230161673517,0.0,0.00160270079392,0.00243336377281,0.0344120620199,0.0857558811396,0.13995370447,0.220930586442,0.0627249066621,0.0633875665567,0.0577291233083,0.00223542007406,0.00110983803699,0.00203083988554,0.687112392141,0.0,0.0,0.0,0.0,0.0,0.0,0.0177744601152,0.0,0.0216497305701,0.0,0.0,0.0,0.0,0.0,0.0,0.0029265246373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00852156181559,0.0,0.0,0.0,0.00124628240224,0.00270325789568,0.0,0.0,0.0,0.0,0.0712923840342,0.0,0.00218460234576,0.0,0.0,0.034069334798,0.00719002176157,0.0,0.0093621903467,0.0,0.0,0.0,0.0
s__Bifidobacterium_catenulatum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00173740807271,0.0158000768533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0294926745086,0.00425457699765,0.0,0.0,0.0,0.0,0.0082717654725,0.0,0.00444110239888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0891055336349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00218726990747,0.0,0.0110318090862,0.0,0.0,0.0,0.0,0.022099057101,0.00181666960068,0.0,0.0,0.0,0.0,0.00116728157964,0.0,0.000798626389454,0.0103240676506,0.0,0.00778705514486,0.00142516502774,0.0,0.572721818165,0.0123615474438,0.0,0.0502363840667,0.00516972677036
s__Bifidobacterium_longum,0.859934703024,0.143832666254,0.000985676635902,2.1117290525,0.549888555355,0.0,0.105824495115,2.44483498555,0.0168528683864,0.380342388907,2.09650510618,1.10166658283,0.664188116822,0.450819844112,0.00273461474827,0.000556720665492,0.00210734429399,0.00551123540955,0.57847054288,2.07284928838,0.146279630621,0.259891829143,2.22579327406,0.00965269351113,0.159697049991,0.755330161446,0.153454359567,0.150933100534,0.567121407504,0.000183038242235,3.11200137061,0.0742773562515,0.00295088017715,3.15883691086,1.14931919685,0.955967625976,0.0037030455051,0.00150609941044,0.123128820408,6.39469121746,0.796074406577,2.92835106902,0.0535768042564,1.28629833347,0.0110619043787,0.0140173747814,0.164547625752,0.0824781618947,1.61150443049,0.628019188706,2.59490626134,0.106731771162,3.23970932466,29.2888062757,0.195323035304,0.117309109826,0.173332041036,0.219336158367,0.552357268354,0.0495871913976,0.480578986339,0.271526377654,0.036034765343,0.0395499406041,0.145329456029,0.122838106836,0.899063314866,0.83941324985,0.346488786869,0.787788523023,0.186619046863,0.0134364286805,0.0122468214691,0.00759495919576,1.41902341839,0.144552657821,0.332712391667,0.252801632334,0.0,0.0217543807779,0.505143976055,0.560559827835,0.353721080439,0.0142631172178,0.000579570325631,0.0451376008895,0.000987330986977,1.19261519365,0.150847482294,0.0,0.200523158534,0.0654326035043,0.00266563652061,0.00782238329614,0.00107700572585,0.0843538170724,0.10633721132,0.0206521954675,0.0175200632502,0.0700018361368,0.0429533746386,4.94139104362,0.00902061048431,0.00340207257363,0.446547868113,0.223356823409,0.0221747442235,0.0,0.0211269186819,0.179028597464,0.0,0.0598048043575,0.0342688328517,0.0292956442227,0.296856226323,0.0511518108929,0.346930740409,0.209517234132,0.457003215677,0.19356295715,0.143921349702,0.818994614,0.114578643774,0.693882810635
